,text
439,"The dead included member of the Grand National Assembly of Turkey for Adıyaman Yakup Taş, Yeni Malatyaspor goalkeeper Ahmet Eyüp Türkaslan, former Turkish national handball team player Cemal Kütahya and his five-year-old son, and Saul Cenudioğlu, leader of the Jewish community in Antakya, who died along with his wife."
440,Former MP for Kahramanmaraş Sıtkı Güvenç died from earthquake injuries on 9 February.
441,Three Turkish soldiers died during rescue operations.
442,"Twenty-six local journalists, four doctors, 120 police officers and 32 gendarmeries were among the dead."
444,"At least 8,476 people died and over 14,500 were injured in Syria."
445,"Among the dead included 2,153 children and 1,524 women."
446,"The Syrian Ministry of Health recorded over 2,248 earthquake-related deaths and 2,950 injuries in government held areas, most of which were in the governorates of Aleppo and Latakia."
447,"In rebel-held areas, at least 4,547 people died and 2,200 others were injured."
448,"The Syrian Network for Human Rights stated 73 medics, five media personnel, 62 workers in humanitarian agencies, and four civil defense personnel were among the dead."
449,The Syrian Observatory for Human Rights said additional dead were buried before being registered and some victims died in hospitals.
450,Syria's National Earthquake Centre said the earthquake is the biggest earthquake recorded in its operational history.
451,An estimated 5.
452,"37 million people across Syria may have been made homeless, while 10."
453,"9 million people, nearly half of Syria's population, were affected."
454,"More than 123 residential areas, villages, towns and cities were badly damaged."
455,"Many power plants, water facilities, hospitals and public infrastructure also sustained damage."
456,At least 453 schools were damaged.
457,"A total of 10,600 buildings had partially or fully collapsed, while thousands of others were damaged in the country."
458,Hundreds were killed in the town of Atarib.
459,"In Jindires, over 1,100 people were killed and at least 250 buildings were razed; among the deaths were a family of 7—the only survivor was a newborn."
460,"In Jableh, at least 283 people died, 173 were injured and 19 buildings collapsed."
461,Four bodies were recovered and 15 bodies were in the process of recovery during debris clearance on 10 February.
462,"On 11 February, six bodies were retrieved from the rubble of a collapsed house along al-Maliyeh Street."
463,"Civilians were stuck under the rubble for hours due to the lack of rescue teams in several villages such as Atarib, Besnia, Jindires, Maland, Salqin and Sarmada."
464,"In Latakia Governorate, 142,000 people were affected; at least 805 people died and 1,131 others were injured."
465,"The region's governor said 105 buildings were destroyed, 247 were at risk of collapse and 900 others were severely damaged."
466,"At Tishreen University, 10 students, 3 employees and a professor died."
467,"At least 48 people were killed in Hama, of which 43 were from the collapse of an eight-story building."
468,"The Associated Press, citing local residents, said the Afrin Dam had cracked."
469,"On 9 February at 04:00, the dam burst and flooded the village of Al-Tloul, which was exacerbated by heavy rains along the Afrin River basin."
470,Nearly all its residents fled; about 500 families were displaced.
471,"According to Reuters, citing local residents, between 35 and 40 people died and most buildings in Al-Tloul were damaged or destroyed by the earthquake."
472,"In Atarib, 148 bodies arrived at an underground hospital."
473,A doctor at the hospital said some bodies were missing their head or limbs.
474,"Various archaeological sites in Tartus Governorate were damaged, including the Khawabi Castle and Aleika Castle, which partially collapsed."
475,Damage to historical towers and infrastructure were also reported in Tartous and Safita.
476,"The president of the Syrian American Medical Society, Amjad Rass, said emergency rooms were packed with injured."
477,"In Idlib Governorate, one hospital received 30 bodies."
478,"In the village of Azmarin, Idlib Governorate, at least 260 people died, including 51 members of one family; at least 300 were injured and 100 were rescued."
479,Fifteen buildings in the village were leveled and about 50 percent of its housing stock had cracks.
480,"Footballer Nader Joukhadar, who played for the national team, was killed alongside his son when their home collapsed in Jableh."
482,"According to the International Rescue Committee, the earthquake struck when rebel-held areas were preparing for a blizzard and experiencing a cholera outbreak."
483,"In Aleppo, dozens of buildings collapsed and at least 444 people died, including 163 children."
484,"By 8 February, the bodies of 210 victims were returned to their families."
485,The Directorate-General of Antiquities and Museums said various archeological sites across the city were extensively cracked or collapsed.
486,Cracks were also reported in the outer façade of the Aleppo National Museum.
487,"In Atarib, Aleppo, the Syrian American Medical Society hospital said 120 bodies were recovered."
488,"About 20,000 homes were affected in Aleppo, leaving 70,000 homeless."
489,"In Rajo, the doors and walls of a prison facility cracked."
490,"Twenty prisoners, believed to be Islamic State (ISIS) members, escaped the facility."
491,"In Damascus, many people fled from their homes onto the streets."
492,"In the northern parts of the city, many buildings were cracked."
493,Many buildings in Syria had already been damaged by an almost 12-year-long civil war.
494,"The Crusader-built castle Margat suffered damage, with part of a tower and parts of some walls collapsing."
495,Cracks also opened up in the walls of the Krak des Chevaliers castle.
496,The Citadel of Aleppo was also affected.
497,"In addition, one of the towers of Sahyun Castle near Latakia was destroyed."
498,The minaret of the Grand Mosque in Kobanî was also damaged.
500,"Destruction in Aleppo, Syria"
501,		
502,			
503,			
504,		
505,		
506,			
507,			
508,		
509,		
510,			
511,			
512,		
513,		
514,			
515,			
516,		
517,"At least 6,600 Syrians residing in Turkey were killed."
518,According to Turkey's Presidency of Migration Management 1.
519,"75 million Syrians live in southern Turkey; 460,150 in Gaziantep; 354,000 in Antakya; 368,000 in Şanlıurfa; 250,000 in Adana."
520,"Turkey's health ministry returned the bodies of 1,793 Syrian victims to their relatives in Syria, while thousands of Syrians were buried in Turkey due to difficulties transporting them to Syria."
521,At least 11 Iraqi war refugees died in Turkey.
522,"At least 100 Afghans were killed by the earthquake in Turkey, mostly refugees who fled the country after the Taliban takeover in August 2021."
523,Among the deaths of Lebanese was an entire family of three in Malatya.
524,"Ten Azerbaijanis were killed in Turkey, including four students in Malatya."
525,"An Italian family of six, and an entrepreneur also perished."
526,"Nineteen students, two teachers and a parent from Northern Cyprus died when the Isias Hotel in Adiyaman collapsed."
527,Seven other Turkish Cypriots died in Hatay and Kahramanmaraş.
529,"In Lebanon, residents were awakened from their sleep."
530,Buildings in the country shook for up to 40 seconds.
531,"In Beirut, residents fled their homes and stayed in streets or drove in their vehicles to flee from buildings."
532,"The earthquake damaged 16,200 buildings across the country, including 10,460 in Beirut and 4,000 in Tripoli."
533,"In Ashdod, Israel, a building was evacuated after cracks were observed in a pillar, and Champion Motors Tower in Bnei Brak was slightly damaged by the second earthquake."
534,"In Nicosia, Cyprus, some windows cracked, and the wall of a house collapsed, damaging two nearby vehicles."
535,Six Cuvier's beaked whales were found dead along the island's northern coast on 10 February.
536,The Department of Fisheries and Marine Research said there was a possible link between the beaching and earthquake as these whales' echolocation system are affected by sea disturbances.
537,"The European-Mediterranean Seismological Centre said shaking was felt in Armenia, Egypt, Palestine, Georgia, Greece, Iraq, Jordan, Israel, and Russia."
538,"In Iraq, minor damage occurred in some houses and buildings in Erbil, and the city's citadel was severely damaged."
539,"In Egypt, tremors were strongly felt in the capital Cairo, and is considered the strongest earthquake felt since 1975."
540,A 20 m (66 ft) crack appeared in the Corniche in Alexandria.
542,"On 20 February, a Mww 6."
543,"3 aftershock struck near Antakya, causing additional buildings to collapse in Samandağ and further damage in Antakya."
544,"Six people died in Antakya, Defne and Samandağ."
545,At least 562 were injured including 18 in serious condition who received immediate medical attention before being taken to Adana and Dörtyol.
546,AFAD warned residents to stay away from the coast as there was potential for a tsunami of up to 50 cm (20 in).
547,The mayor of Hatay said several people were trapped under debris.
548,A bridge was damaged and an empty three-story building in İskenderun collapsed.
549,"In Syria, five people died during stampedes and panic across several governates and at least 500 people were injured."
550,The White Helmets said people in Aleppo and Idlib were injured by collapsed buildings.
551,Some residents in Jinderis were injured after leaping off buildings.
552,"In northwestern Syria, damaged and abandoned buildings collapsed without casualties."
553,"Shaking was felt in Lebanon, Egypt and Jordan."
554,A Mww 5.
555,"2 aftershock occurred on 27 February, near Yeşilyurt."
556,It collapsed about 30 buildings in the town.
557,Two people died and 140 others were injured; 12 in serious condition.
558,One fatality and four injuries were attributed to a factory collapse in Kahramanmaraş Province.
559,"On 25 July, a damaging Mww  5."
560,"5 aftershock struck Kozan, Adana Province."
561,The shock left 63 people injured in Adana and Osmaniye provincess.
562,A house in Sumbas was also damaged by rockfalls.
563,"Another aftershock struck Malatya Province on 10 August, measuring Mww  5."
564,3.
565,Twenty-three people were injured; 22 in Malatya and one in Adıyaman.
566,One building collapsed and two were damaged in Malatya.
568,The USGS Prompt Assessment of Global Earthquakes for Response (PAGER) service estimated a 35 percent probability of economic losses between US$10 billion and US$100 billion.
569,There was a 34 percent probability of economic losses exceeding US$100 billion.
570,"The service estimated a 36 percent probability of deaths between 10,000 and 100,000; 26 percent probability of deaths exceeding 100,000."
571,"For the second large earthquake, there was a 46 percent probability of deaths between 1,000 and 10,000; 30 percent probability of deaths between 100 and 1,000."
572,The service also estimated a 35 percent percent probability of economic losses between US$1 billion and US$10 billion; 27 percent probability of economic losses between US$10 billion and US$100 billion.
573,"Risklayer estimated a death toll of between 23,284 and 105,671."
574,"According to geophysics professor, Övgün Ahmet Ercan, 180,000 people or more may be trapped under the rubble, nearly all of them dead."
575,"On 11 February, when the death toll was reported at about 28,000, United Nations emergency relief coordinator Martin Griffiths said the death toll was expected to more than double."
576,The World Health Organization said up to 26 million people may have been affected; 15 million in Turkey and 11 million in Syria.
577,Immediately after the earthquakes the Turkish lira value struck a record low of 18.
578,"85 against the US dollar, but rebounded to its starting position at the end of the day."
579,Turkish stock markets fell; main equities benchmark fell as much as 5 percent and banks fell 5.
580,5 percent but recovered from the losses.
581,The country's main stock market dropped 1.
582,35 percent on 6 February.
583,The Borsa Istanbul fell 8.
584,"6 percent on 7 February, and declined by more than 7 percent on the morning of 8 February before trading was suspended; the exchange then announced it would close for five days."
585,Total cost of earthquake damage in Turkey was estimated by TÜRKONFED at $84.
586,1 billion US dollars; $70.
587,"75 billion on rebuilding, $10."
588,"4 billion loss in national income, and an additional $2."
589,91 billion loss in workforce.
590,Turkish president Recep Tayyip Erdogan said rebuilding would cost $105 billion.
591,The European Bank for Reconstruction and Development said potential losses may be up to 1 percent of Turkey's GDP in 2023.
592,The Turkish government released a preliminary report estimating the total damage cost at $103.
593,6 billion; corresponding to 9 percent of its GDP in 2023.
594,About half of residential property in the affected area is thought to be covered by Compulsory Earthquake Insurance.
596,The United Nations Development Programme estimated between 116 million and 210 million tons of debris must be cleared in Turkey.
597,The volume of building debris was estimated at 100 million m3 (3.
598,5 billion cu ft); greater than any recent natural disaster.
599,The amount is 10 times that produced during the 2010 Haiti earthquake.
600,"In Syria, the World Bank estimated $5."
601,"1 billion in damages, excluding economic impact and losses."
602,Nearly half the cost was direct damage to residential buildings and 18 percent on infrastructure.
603,"Aleppo Governate, the worst-affected governate, accounted for 45 percent of the damage cost (equivalent to about $2."
604,"3 billion), followed by Idlib and Lattakia governates."
605,The amount of destroyed or damaged capital stock was about 10 percent of Syria's GDP.
606,The World Bank estimated the reconstruction cost at $7.
607,"9 billion, additionally the economy may contract by up to 5."
608,5 percent in 2023.
610,"In the immediate aftermath, thousands were trapped under rubble when buildings collapsed."
611,Many people were missing in collapsed buildings.
612,Survivors trapped under rubble livestreamed their pleas for help on social media.
613,Some trapped survivors shared their location on social media which allowed rescuers to reach them.
614,People who lost contact with their relatives also sent pleas on social media.
615,Several tens of thousands of people across the region were left homeless and spent the night in cold weather.
616,"Officials had plans to open hotels in Antalya, Alanya and Mersin to temporarily accommodate the affected population."
617,"Authorities were slammed by residents in Hatay Province, who criticized the insufficient search and rescue efforts."
618,"Hatay Airport's runway was heavily damaged, making rescue efforts challenging."
619,"On 7 February, authorities said 1,846 people in the province have been rescued."
621,Mosques in Turkey were used as shelters for people unable to return to their homes amid freezing temperatures.
622,"In Gaziantep, people sought refuge in shopping malls, stadiums, community centers, and mosques."
623,"Nearly 250,000 displaced persons resided in schools across Malatya Province."
624,At least 24 mobile kitchens from vocational schools in the province were distributed across the affected areas.
625,"Several Turkish humanitarian institutions such as Ahbap from Haluk Levent, the Turkish Philanthropy Funds (US-based), and Turkish Red Crescent (besides other IFRC members around the world) also launched emergency appeals to help the victims."
627,"Turkish Airlines said it would provide free flights from the provinces of Adana, Adıyaman, Gaziantep, Kayseri, Diyarbakır, Şanlıurfa, Malatya, Elazığ and Kahramanmaraş."
628,The Disaster and Emergency Management Authority opened an invitation for citizen volunteers to help with rescue efforts in the affected area.
629,Thousands of volunteers arrived at Istanbul Airport.
630,"Bilal Ekşi, CEO of Turkish Airlines, said it has flown 11,780 volunteers on 80 flights to Adana, Gaziantep, Adiyaman and Şanlıurfa."
631,"Pegasus Airlines said it evacuated 30,771 people from the affected area on 169 flights between 6 and 9 February."
632,"Between 6 and 11 February, Turkish Airlines said it evacuated 139,438 people from the affected area on 790 flights."
633,"It carried 7,833 members of search and rescue and aid groups to the affected area on 1,595 flights."
635,"President Recep Tayyip Erdoğan said on Twitter, search and rescue teams were immediately dispatched to the affected area."
636,Interior Minister Süleyman Soylu urged residents to refrain from entering damaged buildings.
637,"On 7 February, President Erdoğan declared a 3-month state of emergency in the 10 affected provinces: Adana, Hatay, Osmaniye, Kahramanmaraş, Gaziantep, Kilis, Şanlıurfa, Adıyaman, Malatya and Diyarbakır."
638,The national government declared a level four alert to appeal for international aid.
639,"According to the Disaster and Emergency Management Presidency, 25,000 search and rescue personnel were dispatched to the 10 affected provinces."
640,At least 70 countries offered to help in search and rescue operations.
642,Emergency services in Turkey were activated and looked for survivors trapped under many collapsed buildings.
643,"By 8 February, more than 8,000 people were rescued from rubble across 10 provinces."
644,"About 380,000 individuals took refuge at relief shelters or hotels."
645,An air aid corridor was established by the Turkish Armed Forces to mobilize search and rescue teams.
646,Many military aircraft including an Airbus A400M and C-130 Hercules planes transported search and rescue teams and vehicles to the area.
647,"Food, blankets and psychological teams were also sent."
648,Turkey sent an official request to NATO and allies for assistance.
649,"Over 53,000 Turkish emergency workers were deployed to the regions affected from the earthquakes."
650,A team of 90 miners from Soma arrived at Osmaniye to provide assistance.
651,The Izmir Metropolitan Municipality also sent dozens of vehicles and equipment.
652,"Poor weather conditions including snow, rain and freezing temperatures disrupted search and rescue efforts undertaken by rescue workers and civilians."
653,Rescuers and volunteers wore winter clothing while searching for survivors.
654,Damaged roads also slowed down aid delivery.
655,"On 8 February, Erdoğan visited the town of Pazarcık, Kahramanmaraş Province and Hatay Province."
656,"He acknowledged shortcomings in the response to the earthquake, but denied that there was an insufficient number of personnel involved in rescue operations."
657,He also described people saying they hadn't seen security forces at all in some areas as provocateurs.
658,AFAD announced on 19 February that search and rescue efforts in most of the affected provinces had ceased.
659,"The chairperson of AFAD, Yunus Sezer, said efforts would largely be discontinued by the night of 19 February."
660,Operations were still ongoing for 40 buildings in Kahramanmaraş and Hatay provinces by 19 February.
662,"President of the Turkish Red Crescent, Kerem Kınık, said the national blood stock may not be sufficient and made an appeal on social media urging people to donate blood across the country."
663,"On 7 February, many search and rescue teams from various cities, many from Instanbul, and AFAD volunteers reached the affected areas."
664,"At Istanbul, 12,752 volunteers were flown on 73 flights to the region by 06:00."
665,"By 11 February, there were over 159,000 volunteer and professional search and rescue personnel in the affected area."
666,Eight of Turkey's most-watched television channels organized a joint broadcast of an aid campaign.
667,"The channels; ATV, FOX, Kanal D, Kanal 7, Show TV, Star TV, TRT 1 and TV8 ortak organized the Türkiye Beats with One Heart Campaign on 15 February."
668,The broadcast was featured on 213 television channels and 562 radio stations.
669,The campaign received $6.
670,"1 billion in donations; the Central Bank of the Republic of Turkey was the largest donor, pledging $1."
671,6 billion.
672,Ziraat Bank and VakıfBank each pledged $1 billion.
673,"The Ministry of Youth and Sports, Turkish Football Federation, Super League Clubs Association Foundation and beIN Media Group organized the Omuz Omuza campaign which raised $44."
674,8 million on the first day.
676,The government said it would pay compensation to those who have lost their homes.
677,"President Erdoğan said ₺15,000 in relocation assistance per household would be given to those whose homes were moderate, heavy or total destruction."
678,"Rent assistance of up to ₺5,000 would be given to homeowners and ₺2,000 to tenants."
679,"On 9 February, after touring the city of Gaziantep, Erdoğan promised to rebuild destroyed homes of survivors within one year."
680,He also said the government is working on temporary accommodation for those made homeless.
681,"That same day, force majeure was imposed in the affected region and tax obligations between 6 February and 31 July 2023, were postponed until 31 July 2023."
682,"On 10 February, while touring Adıyaman Province, Erdoğan reiterated the promise to rebuild all homes within one year, and added that the government will subsidize rents for those unwilling to stay in tents."
683,"He later added that more than 141,000 rescue personnel, including foreign teams, were working in the 10 affected provinces, that 100 billion lira (US$5."
684,3 billion) were allocated to the disaster response.
685,"On 22 February, the Turkish government announced plans to construct 200,000 homes in the 11 affected provinces and a further 70,000 in villages."
686,Over 1.
687,"9 million people were rehoused in dormitories, guest houses, tents, hotels and containers."
688,"AFAD issued a statement on 16 February, detailing that 387,000 tents had been established in the affected area by local and international organizations."
689,"Erdoğan said 890,000 survivors were placed in dormitories and 50,000 in hotels."
690,He added that 1.
691,6 million people had access to shelter.
692,"Across the affected region, 162 container cities were established."
693,"The Governor of Şırnak, Osman Bilgin, said the district would be demolished and reconstructed."
694,"On 22 April, at an opening ceremony for new homes in Gaziantep, Erdoğan said construction had begun for 105,000—more than half had been completed."
695,"He added that the government was constructing 507,000 houses and 143,000 village homes; 319,000 homes were planned for completion by the end of 2023."
696,"New facilities including schools, hospitals, bazaars, markets, green areas, and parks were also being built."
698,"On the morning of 7 February, Turkey accused the People's Defense Units of having overseen an MRL attack on its border checkpoint, and that the Turkish army responded with further attacks."
699,The Kurdistan Workers' Party (PKK) declared a ceasefire in its conflict with Turkey.
700,"Co-founder of the PKK, Cemîl Bayik, said thousands of our people are under the rubble and pushed for the focus on recovery efforts."
701,He requested for all groups engaged to stop military actions and added that the PKK would not be engaged as long as the Turkish state does not attack.
702,"On 17 February, a Syrian family of seven, including five children, were killed during a fire that struck a home in Nurdağı, Turkey, in which they moved to after surviving the earthquake."
703,Seven other people were injured during the fire.
704,"A natural gas explosion at a building in Şanlıurfa on 20 February killed two, left five injured and damaged businesses."
705,"Şanlıurfa's governor, Salih Ayhan, said due to the earthquakes, gas supply to the city was cut and an investigation was ongoing."
706,"A bus ferrying earthquake survivors from Hatay to Konya collided with a truck on the Tarsus-Adana-Gaziantep Motorway on 23 February, killing two and injuring six."
707,"On 20 April, an IF1 tornado struck a camp housing people affected by the earthquake in Pazarcık, Kahramanmaraş; three people died and 50 others were injured."
709,"After the earthquakes, looting was observed in the affected provinces."
710,"In Hatay, some desperate survivors tresspassed into supermarkets for food when aid took too long to arrive."
711,"However, ATMs were also broken-in and emptied; looters also began ravaging through clothing and electronic stores."
712,President Erdogan said on 11 February that serious actions would be taken to address the issue.
713,A rescuer in the affected area said many looters carried knives with them.
714,Looting occurred at damaged shops and buildings.
715,"Videos also circulated online allegedly showing goods stolen from aid vehicles, looting at buildings and alleged looters being beaten by officials or crowds."
716,"On 11 February, Anadolu Agency, citing unnamed sources, said Turkish officials arrested 98 people and seized stolen goods."
717,"In Hatay Province, 42 people were held for stealing cash, smartphones, computers, weaponries, jewellery and bank cards."
718,Authorities also arrested six people for cheating a survivor in Gaziantep.
719,Turkey's Human Rights Association recorded several instances of violence and torture against alleged looters in Hatay Province.
720,"In one instance, a person died while in custody of officials after he was arrested in Hatay's Altinözü District alongside his brother."
721,The surviving brother said he had been tortured.
722,The siblings' father who identified the body said the victim died from a blood clot and had broken ribs and a broken nose.
723,"There were many reports of people mistaken as looters and violently beaten, including the beating of volunteer rescuers."
724,A video which showed the lynching of three alleged refugees was posted on Twitter.
725,"German and Austrian rescuers deployed to Hatay suspended operations, citing a worsening security situation due to the slow arrival of aid or sporadic clashes between armed groups."
726,The teams later resumed operations when the Turkish Land Forces provided protection.
727,"On 12 February, rescuers from the Israeli search-and-rescue group United Hatzalah left Turkey, citing intelligence of a concrete and immediate threat on the Israeli delegation."
728,"On 9 February, three inmates were killed and 12 more injured after soldiers opened fire during a prison riot in Hatay."
729,The prisoners were demanding to see their families affected by the earthquake.
731,Floods which struck the provinces of Adıyaman and Şanlıurfa in March killed at least 21 people.
732,"The floods swept away cars, affected homes and campsites housing earthquake survivors."
733,"Twelve people, including five Syrians, died in Şanlıurfa."
734,An intensive care unit in a hospital in the province was evacuated.
735,"In Adıyaman, two drowning deaths occurred when floodwaters swept away a container home with a family."
736,Over a dozen professional divers participated in search and rescue efforts in each province.
738,"Before the earthquake, the government had planned the elections to be held on 14 May 2023, a month earlier than its latest possible date as a snap election."
739,"After the earthquake, doubts arose if elections could be held on schedule."
740,"On 13 February, Bülent Arınç of the AKP demanded the elections be postponed despite the constitution disallowing such a possibility in the absence of war."
741,Arınç's declaration has been criticized by media outlets and politicians.
742,"However, the possibility of this passing through amending the constitution was uncertain, as the governing coalition, with its 333 seats in parliament, could not surpass the 400-number hurdle needed for the motion to succeed."
743,"On 18 February, AKP authorities stated that the elections would not be delayed."
744,Kemal Kılıçdaroğlu of the CHP opposed its postponement on constitutional grounds.
745,"Mustafa Tolga Öztürk, YSK member of the İYİ party stated that YSK does not have any power to postpone an election and only parliament has the right to do so, adding that Turkey had no more time to lose with the AKP."
746,Selahattin Demirtaş of the Peoples Democratic Party (HDP) has described the postponement as a political coup.
747,The declaration of state of emergency in the affected regions was also interpreted as a possible measure to postpone elections.
748,"Nevertheless, the earthquake led to the opposition Nation Alliance postponing its 13 February meeting for the selection of its consensus presidential candidate to 6 March, which was eventually assumed by Kılıçdaroğlu."
750,"At the elections on 14 May, Erdoğan's People's Alliance retained its majority in the Grand National Assembly, while Erdoğan won in the first round of the presidential election, receiving 49."
751,"5%, and won 52."
752,2% of the vote in the second round against Kılıçdaroğlu on 28 May.
753,This marked the first time a Turkish presidential election went into a run-off.
754,"In both instances, Erdoğan retained the support of a majority of voters in most of the provinces devastated by the earthquake."
756,"On 9 February, the Council of Higher Education said education and training at universities in the affected provinces would be suspended until further notice."
757,Student hostels managed by the General Directorate of Higher Education Credit and Hostels would be used to house affected individuals.
758,"The minister of national education, Mahmut Özer, ordered a week-long closure of all schools in the country, which was later extended to two weeks."
759,Schools in the affected provinces were suspended until 10 March.
760,Students studying in schools located in the affected provinces would be transferred to other provinces of their choice.
762,"After the earthquake, Süper Lig was suspended for over a week to mourn the victims."
763,"Clubs from affected regions: Süper Lig clubs Hatayspor, Gaziantep FK, TFF First League club Yeni Malatyaspor, Adanaspor, TFF Second League club Adıyaman FK, Diyarbekirspor and TFF Third League clubs Kahramanmaraşspor, Osmaniyespor FK and Malatya Arguvan SK withdrew from competition."
764,"Sivas Belediyespor, Tarsus İdman Yurdu and Niğde Anadolu requested to withdraw but TFF did not approve their requests."
765,"On 6 February, it was announced the 2023 ISF World School Winter Games, which were due to be held in Erzurum, were canceled due to the 'force majeure' situation in the country."
766,"On 10 February, it was announced the 2023 Men's EuroHockey Indoor Club Cup was canceled due to the impact of the earthquake."
767,The tournament was intended to be held from 17 to 19 February in Alanya.
768,"In an official statement, Minister of Youth and Sports Mehmet Kasapoğlu announced that every national championship would be suspended with immediate effect, until further communications."
769,"All 39 members of the Northern Cypriot Türk Maarif Koleji's high school volleyball team including players, teachers, parents and a trainer died in the collapse of a hotel in Adıyaman."
770,Three players from Iran's national paralympic football team died in Turkey.
771,Hatayspor's Ghanaian winger Christian Atsu died in the collapse of Rönesans Rezidans in Antakya.
772,His body was found on the morning of 18 February.
773,"Atsu was a former Chelsea, Newcastle, Bournemouth and Everton player."
774,Basketball player Nilay Aydogan died in Malatya.
775,"In the first game of the Super Lig after the earthquake between Fenerbahce Istanbul and Konyaspor, fans protested against the Turkish government and shouted demands for its resignation, which was still heard even after the broadcaster of the game BeIN tried to censor the fans' voices."
776,In another football game in Istanbul between Besiktas and Antalyaspor the fans repeated their calls for the government's resignation and threw cuddly toys onto the field.
778,President Bashar al-Assad held an emergency meeting with his cabinet to organize a rescue plan for the affected regions.
779,"He identified Aleppo, Hama and Latakia governates as the most affected."
780,"Following orders from President al-Assad, all teams of the civil defense, firefighting, health, and public construction groups were mobilized to the affected governates."
781,"He also added that medical services, food and shelter were urgently needed."
782,The Ministry of Internal Trade and Consumer Protection was ordered by President al-Assad to supply food and organize teams to distribute them.
783,Technical teams were also on site to evaluate building conditions and evacuate residents in at-risk structures.
784,"The Ministry of Water Resources was tasked with rapidly assessing damage to dams, reservoirs and water stations, and ensuring people have access to water."
785,"The Syrian government appealed to UN member states, the International Committee of the Red Cross, and other humanitarian organizations for international aid."
786,"Syria also requested for aid from the European Union's European Civil Protection Mechanism, according to commissioner Janez Lenarčič."
787,"The Syrian government, through its representative in the United Nations, said that it should be responsible for aid distribution in all areas of the country, including those held by the rebels."
788,"The UK government said it would deliver aid through its long-term partners, the White Helmets civilian defense force."
789,The US State Department said it would use its humanitarian partners on the ground.
790,The United Nations Office for the Coordination of Humanitarian Affairs said damaged roads and logistical issues prevented the mobilization of international aid across the border from Turkey.
791,Border crossings into Turkey remained closed on 7 February.
792,Critically injured patients were unable to enter Turkey for medical attention.
793,"There were exceptions as to which persons could cross, including individuals holding touristic residence permits who could only cross by foot."
794,"The Bab al-Hawa Border Crossing was made accessible on 8 February, according to the UN."
795,Some hotels including in Latakia and Damascus offered to accommodate to survivors free of charge and ensure basic necessities.
796,Refugees and expatriates also opened their homes as shelters for people.
797,Al-Sham Private University started an effort to receive people.
798,"Sports facilities, events venues, university dormitories and halls were also opened to take in people."
799,The Syria Trust for Development announced the establishment of shelters across many governorates.
800,"Volunteer groups inspected buildings for damage and distributed food items, blankets, and first aid essentials."
802,"Due to the high number of casualties, including trauma cases, many hospitals became overcrowded."
803,Hospitals were already experiencing a shortage of medical supplies prior to the earthquake.
804,Hospitals in many cities were forced to operate far beyond capacity.
805,Many patients at hospitals slept on floors due to the lack of beds.
806,"The Ministry of Health dispatched medical convoys from the Health Directorates of Damascus, Rif Dimashq Governorate, Quneitra, Homs, and Tartus, to Aleppo and Latakia to rebel-held areas."
807,"Twenty-eight ambulances, seven mobile clinics, and four trucks carrying medical, surgical and emergency aid were also dispatched."
808,"Local charities across the country, which typically distribute food during the month of Ramadan, have been exhausted to their fullest capacity."
809,"One of these charities, Saed Initiative, planned to establish a charity kitchen to provide free meals for the rest of the year."
810,"Between 2,500 and 4,000 meals were distributed every day in Aleppo, and the charity plans to distribute up to 40,000 meals every day."
811,"Another charity in the city, the al-Bir and al-Ihsan charity, provided 1,500 meals every day."
812,"Over 2,000 Syria Civil Defense (White Helmets) volunteers were sent to all the affected areas to conduct search and rescue efforts."
813,"With a lack of equipment and tools, they appealed to other humanitarian organizations for support."
814,Officials on 7 February announced rescue and recovery efforts in Hama ended after 15 hours.
815,"Over 298,000 people were left without homes and 180 shelters were opened in government-held areas."
816,"About 30,000 people were housed in shelters in Aleppo."
817,"As of 10 February, no international rescue workers had arrived in rebel-held Jinderis despite official calls for help."
818,United States sanctions against Syria relating to the blocking of banks and payment processors led to the banning of international charities and families attempting to send money to people affected in Syria.
819,"On 7 February 2023, the Syrian Arab Red Crescent urged Western countries to lift sanctions against Syria, saying the measures hurt civilians and humanitarian efforts during the earthquake recovery effort."
820,"The sanctions are a series of economic measures taken by the European Union, the United States, Canada, Australia, Switzerland, and the Arab League against the Assad regime from the start of the civil war in 2011."
821,They include an oil embargo and the freezing of financial assets of the state and government officials.
822,"There were requests to lift or suspend the sanctions to aid humanitarian efforts following the earthquake, including by three Christian archbishops from different confessions, during a meeting with Alfredo Mantovano, Undersecretary of State to the Presidency of the Council of Ministers of Italy."
824,"On 10 February, the United States announced it would exempt sanctions against Syria for 180 days."
825,"The ease of sanctions was for all transactions related to earthquake relief efforts, according to the United States Department of the Treasury."
826,The Syrian Foreign Ministry responded in a statement that the US' decision was misleading and aims to give a false humanitarian impression and that the facts on the ground proved its falsehood.
827,Some commentators have argued that the sanctions do not pose a problem for the delivery of humanitarian aid to Syria.
829,International humanitarian assistance began entering northwestern Syria on 9 February via Turkey through the Bab al-Hawa Border Crossing.
830,The first convoy of six trucks carried tents and sanitary items.
831,Turkey said it was working to open two additional border crossings.
832,"On 10 February, 14 trucks carrying aid crossed from Turkey into Syria, according to the United Nations."
833,The United States Central Command announced it would cooperate with Syrian Democratic Forces to assist the affected population in Syria.
834,"On 11 February, World Health Organization director-general Tedros Adhanom Ghebreyesus visited Aleppo, accompanying a shipment of emergency medical supplies."
835,"On 12 February, all schools across Syria, except for those in the affected areas, were resumed since the earthquakes struck."
